#,MeterName,EndUseType,SpecificEndUse,FuelType,Frequency
8,"InteriorLights:DistrictHeatingWater","InteriorLights","","DistrictHeating","Hourly",unknown
8,"ExteriorLights:DistrictHeatingWater","ExteriorLights","","DistrictHeating","Hourly",unknown
8,"InteriorEquipment:DistrictHeatingWater","InteriorEquipment","","DistrictHeating","Hourly",unknown
8,"ExteriorEquipment:DistrictHeatingWater","ExteriorEquipment","","DistrictHeating","Hourly",unknown
8,"Fans:DistrictHeatingWater","Fans","","DistrictHeating","Hourly",unknown
8,"Pumps:DistrictHeatingWater","Pumps","","DistrictHeating","Hourly",unknown
8,"Heating:DistrictHeatingWater","Heating","","DistrictHeating","Hourly",unknown
8,"Cooling:DistrictHeatingWater","Cooling","","DistrictHeating","Hourly",unknown
8,"HeatRejection:DistrictHeatingWater","HeatRejection","","DistrictHeating","Hourly",unknown
8,"Humidifier:DistrictHeatingWater","Humidifier","","DistrictHeating","Hourly",unknown
8,"HeatRecovery:DistrictHeatingWater","HeatRecovery","","DistrictHeating","Hourly",unknown
8,"WaterSystems:DistrictHeatingWater","WaterSystems","","DistrictHeating","Hourly",unknown
8,"Refrigeration:DistrictHeatingWater","Refrigeration","","DistrictHeating","Hourly",unknown
8,"Chillers:DistrictHeatingWater","not found","","DistrictHeating","Hourly",unknown
9,"Receptacle:InteriorEquipment:Electricity","InteriorEquipment","Receptacle","Electricity","Hourly",success,7.26212e+10
9,"Process:InteriorEquipment:Electricity","InteriorEquipment","Process","Electricity","Hourly",error retrieving TimeSeries
9,"Refrig:InteriorEquipment:Electricity","InteriorEquipment","Refrig","Electricity","Hourly",error retrieving TimeSeries
10,"Internal Transport:InteriorEquipment:Electricity","InteriorEquipment","Internal Transport","Electricity","Hourly",success,7.0956e+09
10,"Receptacle:ExteriorEquipment:Electricity","not found","Receptacle","Electricity","Hourly",unknown
10,"Process:ExteriorEquipment:Electricity","not found","Process","Electricity","Hourly",unknown
10,"Process:InteriorEquipment:NaturalGas","InteriorEquipment","Process","Gas","Hourly",error retrieving TimeSeries
10,"Receptacle:ExteriorEquipment:NaturalGas","not found","Receptacle","Gas","Hourly",unknown
10,"Process:ExteriorEquipment:NaturalGas","not found","Process","Gas","Hourly",unknown
11,"ComplianceLtg:InteriorLights:Electricity","InteriorLights","ComplianceLtg","Electricity","Hourly",success,7.78288e+10
11,"NonComplianceLtg:InteriorLights:Electricity","InteriorLights","NonComplianceLtg","Electricity","Hourly",error retrieving TimeSeries
11,"Reg Ltg:ExteriorLights:Electricity","not found","Reg Ltg","Electricity","Hourly",unknown
11,"NonReg Ltg:ExteriorLights:Electricity","not found","NonReg Ltg","Electricity","Hourly",unknown
