Envelope Summary
                              ,Roof
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,Gross Area,Net Area,Azimuth,U-factor w/ Film,U-factor w/o Film,Thermal Emittance,Reflectance
                              ,,,,,,,,,(ft2),(ft2),(Deg),(Btu/h-F-ft2),(Btu/h-F-ft2),,
,"Surface 62","RoofInsulationEntirelyAboveDeckU063","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,343.5,343.5,212.0,0.000,100000.000,0.9,0.3
,"Surface 70","RoofInsulationEntirelyAboveDeckU063","L02-211_RestComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,740.6,740.6,212.0,0.000,100000.000,0.9,0.3
,"Surface 260","RoofInsulationEntirelyAboveDeckU063","L02-209_AstoComlPthp","Thermal Zone: L02-209_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,347.0,347.0,212.0,0.000,100000.000,0.9,0.3
,"Surface 87","RoofInsulationEntirelyAboveDeckU063","L02-207_UtilComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,98.8,98.8,212.0,0.000,100000.000,0.9,0.3
,"Surface 93","RoofInsulationEntirelyAboveDeckU063","L02-207C_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,54.5,54.5,212.0,0.000,100000.000,0.9,0.3
,"Surface 253","RoofInsulationEntirelyAboveDeckU063","L02-207B_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,53.1,53.1,212.0,0.000,100000.000,0.9,0.3
,"Surface 105","RoofInsulationEntirelyAboveDeckU063","L02-207A_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,52.6,52.6,212.0,0.000,100000.000,0.9,0.3
,"Surface 144","RoofInsulationEntirelyAboveDeckU063","L02-216_MprpComlPthp","Thermal Zone: L02-216_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,257.2,257.2,212.0,0.000,100000.000,0.9,0.3
,"Surface 120","RoofInsulationEntirelyAboveDeckU063","L02-217_AstoComlIncd","Thermal Zone: L02-216_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,43.4,43.4,212.0,0.000,100000.000,0.9,0.3
,"Surface 247","RoofInsulationEntirelyAboveDeckU063","L02-206_MprpComlPthp","Thermal Zone: L02-206_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,237.4,237.4,212.0,0.000,100000.000,0.9,0.3
,"Surface 129","RoofInsulationEntirelyAboveDeckU063","L02-201_CorrComlPthp","Thermal Zone: L02-201_CorrComlPthp","DirectlyConditioned","Nonresidential","New",1,946.6,946.6,212.0,0.000,100000.000,0.9,0.3
,"Surface 238","RoofInsulationEntirelyAboveDeckU063","L02-218_MechComlPthp","Thermal Zone: L02-218_MechComlPthp","DirectlyConditioned","Nonresidential","New",1,45.9,45.9,212.0,0.000,100000.000,0.9,0.3
