; Tables for Std model AutoHardSize capacity look-up rules
,"BaseSys3 Fan-2","ConstantVolume","BaseAirSys3-2","n/a",365.738,-99996.000,0.650,"BrakeHorsePower",2.254,0.200,1.000,"InAirStream",0.825,0.4938
,"BaseSys3 Fan-3","ConstantVolume","BaseAirSys3-3","n/a",314.370,-99996.000,0.650,"BrakeHorsePower",2.291,0.175,1.000,"InAirStream",0.825,0.5021
,"BaseSys3 Fan-4","ConstantVolume","BaseAirSys3-4","n/a",557.517,-99996.000,0.650,"BrakeHorsePower",3.877,0.524,1.000,"InAirStream",0.825,0.8495
,"BaseSys3 Fan-5","ConstantVolume","BaseAirSys3-5","n/a",727.238,-99996.000,0.650,"BrakeHorsePower",1.978,0.349,1.000,"InAirStream",0.825,0.4333
,"BaseSys3 Fan-6","ConstantVolume","BaseAirSys3-6","n/a",1916.388,-99996.000,0.650,"BrakeHorsePower",1.987,0.923,1.000,"InAirStream",0.825,0.4353
,"BaseSys3 Fan-7","ConstantVolume","BaseAirSys3-7","n/a",51.511,-99996.000,0.650,"BrakeHorsePower",4.777,0.060,1.000,"InAirStream",0.825,1.0467
,"BaseSys3 Fan-8","ConstantVolume","BaseAirSys3-8","n/a",254.202,-99996.000,0.650,"BrakeHorsePower",2.063,0.127,1.000,"InAirStream",0.825,0.4520
,"BaseSys3 Fan-9","ConstantVolume","BaseAirSys3-9","n/a",313.443,-99996.000,0.650,"BrakeHorsePower",2.104,0.160,1.000,"InAirStream",0.825,0.4609
,"BaseSys3 Fan-10","ConstantVolume","BaseAirSys3-10","n/a",973.575,-99996.000,0.650,"BrakeHorsePower",3.877,0.915,1.000,"InAirStream",0.825,0.8495
,"BaseSys RetFan","VariableSpeedDrive","BaseAirSys3","n/a",951.713,0.000,0.650,"BrakeHorsePower",2.009,0.463,1.000,"InAirStream",0.825,0.4401
,"BaseSys RetFan-2","VariableSpeedDrive","BaseAirSys3-2","n/a",329.164,0.000,0.650,"BrakeHorsePower",1.804,0.144,1.000,"InAirStream",0.825,0.3952
,"BaseSys RetFan-3","VariableSpeedDrive","BaseAirSys3-3","n/a",282.933,0.000,0.650,"BrakeHorsePower",1.762,0.121,1.000,"InAirStream",0.825,0.3860
,"BaseSys RetFan-4","VariableSpeedDrive","BaseAirSys3-5","n/a",708.757,0.000,0.650,"BrakeHorsePower",1.949,0.335,1.000,"InAirStream",0.825,0.4271
,"BaseSys RetFan-5","VariableSpeedDrive","BaseAirSys3-6","n/a",1849.855,0.000,0.650,"BrakeHorsePower",1.958,0.878,1.000,"InAirStream",0.825,0.4291
,"BaseSys RetFan-6","VariableSpeedDrive","BaseAirSys3-8","n/a",228.782,0.000,0.650,"BrakeHorsePower",2.016,0.112,1.000,"InAirStream",0.825,0.4417
,"BaseSys RetFan-7","VariableSpeedDrive","BaseAirSys3-9","n/a",282.099,0.000,0.650,"BrakeHorsePower",1.971,0.135,1.000,"InAirStream",0.825,0.4318
ENDTABLE
TABLE 1574_GLBH_S901G_CBECC202519OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys3 OACtrl","FixedDryBulb","BaseAirSys3","Integrated"
,"BaseSys3 OACtrl-2","FixedDryBulb","BaseAirSys3-2","Integrated"
,"BaseSys3 OACtrl-3","FixedDryBulb","BaseAirSys3-3","Integrated"
,"BaseSys3 OACtrl-4","FixedDryBulb","BaseAirSys3-4","Integrated"
,"BaseSys3 OACtrl-5","FixedDryBulb","BaseAirSys3-5","Integrated"
,"BaseSys3 OACtrl-6","FixedDryBulb","BaseAirSys3-6","Integrated"
,"BaseSys3 OACtrl-7","FixedDryBulb","BaseAirSys3-7","Integrated"
,"BaseSys3 OACtrl-8","FixedDryBulb","BaseAirSys3-8","Integrated"
,"BaseSys3 OACtrl-9","FixedDryBulb","BaseAirSys3-9","Integrated"
,"BaseSys3 OACtrl-10","FixedDryBulb","BaseAirSys3-10","Integrated"
ENDTABLE
