BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"L1",1,5692.6,939.6,0.0,939.6,11.1,125,338,0,0,0,0,1.000,1.000,1.000,125,0,0,0,0,0,0,0
"L2",1,5692.6,5692.6,0.0,5692.6,72.8,1415,895,0,0,0,0,1.000,1.000,1.000,1415,0,0,0,0,0,0,0

Space
,,,,,,,,Occupancy,,,Ventilation,,,,Design Inputs,,,,,Minimum Req.,,,,,Adjustments,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,VentSys,Floor Area,Multiplier,Dsgn,Min,Number,Spec. Method,Control,Zone Eff (Ez),SysEff (Ev),Per Area,Per Occupant,Per Volume,Per Space,Calculated Flow (incl Mult and Ez),Per Area,Per Occupant,Per Volume,Calculated Flow (incl Mult and Ez),TARGET Flow (incl Mult and Ez),CodeVent Mult,ExhVent Mult,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,,(cfm/ft2),(cfm/person),(ACH),(cfm/person),(cfm),(cfm/ft2),(cfm/person),(ACH),(cfm),(cfm),,,(cfm/ft2),(cfm/person),(cfm),,(cfm),(cfm),(cfm)
"L02-207A_MechComlIncd","L2","IndirectlyConditioned","Electrical/MechanicaI Room","Thermal Zone: L02-206_MprpComlPthp","ERV1",52.6,1,3.0,3.0,0.1,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
"L02-216_MprpComlPthp","L2","DirectlyConditioned","Conference/Meeting/Multipurpose Room","Thermal Zone: L02-216_MprpComlPthp","ERV1",257.0,1,66.7,66.7,8.6,"Sum","Fixed",1.000,1.000,0.600,5.00,0.000,0,80,0.600,5.00,0.000,62,59,0.739,1.000,0.266,0.00,0,"UNDEFINED",0,0,0
"L02-217_AstoComlIncd","L2","IndirectlyConditioned","Storage Room - <50 ft2","Thermal Zone: L02-216_MprpComlPthp","ERV1",43.4,1,3.0,0.0,0.1,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.739,1.000,0.266,0.00,0,"UNDEFINED",0,0,0
"L02-206_MprpComlPthp","L2","DirectlyConditioned","Conference/Meeting/Multipurpose Room","Thermal Zone: L02-206_MprpComlPthp","ERV1",237.2,1,66.7,66.7,7.9,"Sum","Fixed",1.000,1.000,0.600,5.00,0.000,0,25,0.600,5.00,0.000,20,18,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
"L02-201_CorrComlPthp","L2","DirectlyConditioned","Corridor - All other","Thermal Zone: L02-201_CorrComlPthp","ERV1",945.8,1,10.0,10.0,4.7,"Sum","Fixed",1.000,1.000,0.060,0.00,0.000,0,90,0.060,0.00,0.000,43,67,0.739,1.000,0.044,0.00,0,"UNDEFINED",0,0,0
"L02-218_MechComlPthp","L2","DirectlyConditioned","Electrical/MechanicaI Room","Thermal Zone: L02-218_MechComlPthp","None",45.9,1,3.0,3.0,0.1,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.000,0.00,0,"UNDEFINED",0,0,0
"L02-215_LndyComlIncd","L2","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Thermal Zone: L02-201_CorrComlPthp","ERV1",111.2,1,3.0,2.0,0.2,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.739,1.000,0.044,0.00,0,"UNDEFINED",0,0,0
"L02-208_RestComlIncd","L2","IndirectlyConditioned","Restroom - All other","Thermal Zone: L02-206_MprpComlPthp","ERV1",101.4,1,10.0,10.0,1.0,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
"L02-001_ElevComlIncd","L2","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","Thermal Zone: L02-201_CorrComlPthp","ERV1",60.5,1,0.0,0.0,0.0,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,1.000,1.000,0.044,0.00,0,"UNDEFINED",0,0,0
"L02-201B_UtilComlIncd","L2","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Thermal Zone: L02-201_CorrComlPthp","ERV1",17.3,1,3.0,2.0,0.0,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.739,1.000,0.044,0.00,0,"UNDEFINED",0,0,0
