General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" 5900 W Green Lake Way N.","Seattle",98103,"- select -","CBECC 2025.2.1 (1408)","BEMCmpMgr 2025.2.0 (795)","ASHRAE 90.1-2019 Appendix G, Vers. 1.0 (S901G_2019.bin)","NewComplete"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
11,10,8,3,0

No. of Stories
Total,New,Existing,Altered
2,2,0,0

No. of Above Grade Stories
Total,New,Existing,Altered
2,2,0,0

No. of Dwelling Units (Conditioned)
Total,New,Existing,Altered
0,0,0,0

NonRes Floor Area (Conditioned)
Total,New,Existing,Altered
2,2,0,0

Res Floor Area (Conditioned)
Total,New,Existing,Altered
0,0,0,0

,Conditioned Floor Area
Total Floor Area,Total,New,Existing,Altered
11385.2,6632.21,0,0,0



Building Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
5227.44,1590.16,907.49,1227.72,1502.07

Building New Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
5227.44,1590.16,907.49,1227.72,1502.07
Building Existing or Altered Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Building Window Area,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
1278.28,650.05,125.34,58.22,444.67

Building New Window Area on New Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
1278.28,650.05,125.34,58.22,444.67
Building New Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Window to Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2445,0.4088,0.1381,0.0474,0.2960

New Window to New Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2445,0.4088,0.1381,0.0474,0.2960
New Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
Existing or Altered Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000


Skylight to Roof Ratio (SRR),Display Perimeter\SRR,West,Total
(frac.),(ft),(ft)
0.0000,0.00,0.00

New Skylight to New Roof Ratio (SRR)
(frac.)
0.0000
New Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
Existing or Altered Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000



Exterior Roofs
,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"Surface 62","New","L02-214_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",343.53,2.32014,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 70","New","L02-211_RestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",740.61,2.31998,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 260","New","L02-209_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",346.97,2.31999,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 87","New","L02-207_UtilComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",98.77,2.31999,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 93","New","L02-207C_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",54.53,2.32007,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 253","New","L02-207B_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",53.06,2.32018,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 105","New","L02-207A_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",52.61,2.31972,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 144","New","L02-216_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",257.21,2.32033,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 120","New","L02-217_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",43.43,2.32019,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 247","New","L02-206_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",237.37,2.32,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 129","New","L02-201_CorrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",946.58,2.32008,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 238","New","L02-218_MechComlPthp","Nonresidential","DirectlyConditioned","NonResidential",45.94,2.32047,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 171","New","L02-215_LndyComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",111.32,2.32003,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 262","New","L02-208_RestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",101.46,2.32001,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 57","New","L02-001_ElevComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",60.56,2.31953,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 192","New","L02-201B_UtilComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",17.32,2.31979,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 204","New","L02-202_OfceComlPthp","Nonresidential","DirectlyConditioned","NonResidential",187.77,2.29308,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
