


360 Space Loads

                          Space,,,,,,,,,Occupancy,,,Lighting,,,,,,Envelope

                          Name,Story Name,Condg Type,Space Function,Occ Class, Thermal Zone,Floor Area,Volume,Multiplier,Dsgn,Min,Number,Reg Inst Pwr,Reg Sim Pwr,Reg Ltg Sch Hrs,NonReg Sim Pwr,NonReg Ltg Sch Hrs,Reg Base Pwr, Res Gross Wall Area,Res Win Area,Non Res Gross Wall Area,Non Res Win Area,Semi Cond Gross Wall Area,Semi Cond Win Area,Res Roof Gross Area,Res Skylight Area,NonRes Roof Gross Area,NonRes Skylight Area,Semi Roof Gross Area,Semi Skelight Area,Res Floor Area,NonRes Floor Area,Semi Floor Area,Res BelowGrade Wall Area,NonRes BelowGrade Wall Area,Semi BelowGrade Wall Area,Res GroundContacted Slab Area,NonRes GroundContacted Slab Area,Semi GroundContacted Slab Area

                          ,,,,,,(ft2),(ft3),,(ppl/1000ft2),(ppl/1000ft2),(people),(Watts),(Watts),(hrs.),(Watts),(hrs.),(Watts),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2)
"L02-207A_MechComlIncd","L2","IndirectlyConditioned","Electrical/MechanicaI Room","Nonresidential","Thermal Zone: L02-206_MprpComlPthp",52.5704,645.5680,1,3,3,0.1,13.9,13.9,0,-99996,0.0,78.9,0.0,0.0,73.1,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0
"L02-216_MprpComlPthp","L2","DirectlyConditioned","Conference/Meeting/Multipurpose Room","Nonresidential","Thermal Zone: L02-216_MprpComlPthp",257.0023,3266.7400,1,67,67,8.6,67.8,67.8,0,-99996,0.0,334.1,0.0,0.0,417.0,59.1,0.0,0.0,0.0,0.0,257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L02-217_AstoComlIncd","L2","IndirectlyConditioned","Storage Room - <50 ft2","Nonresidential","Thermal Zone: L02-216_MprpComlPthp",43.3954,537.9890,1,3,0,0.1,11.5,11.5,0,-99996,0.0,34.7,0.0,0.0,86.1,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L02-206_MprpComlPthp","L2","DirectlyConditioned","Conference/Meeting/Multipurpose Room","Nonresidential","Thermal Zone: L02-206_MprpComlPthp",237.1794,3020.9500,1,67,67,7.9,62.6,62.6,0,-99996,0.0,308.3,0.0,0.0,211.5,61.2,0.0,0.0,0.0,0.0,237.4,0.0,0.0,0.0,0.0,0.0,237.2,0.0,0.0,0.0,0.0,0.0,0.0
"L02-201_CorrComlPthp","L2","DirectlyConditioned","Corridor - All other","Nonresidential","Thermal Zone: L02-201_CorrComlPthp",945.8054,12205.8000,1,10,10,4.7,249.7,249.7,0,-99996,0.0,472.9,0.0,0.0,215.4,135.6,0.0,0.0,0.0,0.0,946.6,0.0,0.0,0.0,0.0,0.0,778.5,0.0,0.0,0.0,0.0,0.0,0.0
"L02-218_MechComlPthp","L2","DirectlyConditioned","Electrical/MechanicaI Room","Nonresidential","Thermal Zone: L02-218_MechComlPthp",45.8999,580.8810,1,3,3,0.1,12.1,12.1,0,-99996,0.0,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L02-215_LndyComlIncd","L2","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Nonresidential","Thermal Zone: L02-201_CorrComlPthp",111.2292,1434.2200,1,3,2,0.2,29.4,29.4,0,-99996,0.0,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.3,0.0,0.0,0.0,0.0,0.0,111.2,0.0,0.0,0.0,0.0,0.0,0.0
"L02-208_RestComlIncd","L2","IndirectlyConditioned","Restroom - All other","Nonresidential","Thermal Zone: L02-206_MprpComlPthp",101.3740,1305.5500,1,10,10,1.0,26.8,26.8,0,-99996,0.0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,0.0,0.0,0.0,0.0,0.0,101.4,0.0,0.0,0.0,0.0,0.0,0.0
"L02-001_ElevComlIncd","L2","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","Nonresidential","Thermal Zone: L02-201_CorrComlPthp",60.5140,782.4780,1,-99996,0,0.0,-99996.0,0.0,0,-99996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L02-201B_UtilComlIncd","L2","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Nonresidential","Thermal Zone: L02-201_CorrComlPthp",17.3018,224.9890,1,3,2,0.0,4.6,4.6,0,-99996,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0
"L02-202_OfceComlPthp","L2","DirectlyConditioned","Office - Enclosed","Nonresidential","Thermal Zone: L02-202_OfceComlPthp",187.6170,2581.4000,1,10,10,0.9,49.5,49.5,0,-99996,0.0,206.4,0.0,0.0,149.0,90.0,0.0,0.0,0.0,0.0,187.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L02-203_BrkrComlPthp","L2","DirectlyConditioned","Lounge/Breakroom - All other","Nonresidential","Thermal Zone: L02-203_BrkrComlPthp",223.2711,3112.6100,1,67,67,7.4,58.9,58.9,0,-99996,0.0,267.9,0.0,0.0,247.4,44.0,0.0,0.0,0.0,0.0,223.5,0.0,0.0,0.0,0.0,0.0,223.3,0.0,0.0,0.0,0.0,0.0,0.0
"L02-204_FitnComlPthp","L2","DirectlyConditioned","Gymnasium/Fitness Center - Exercise area","Nonresidential","Thermal Zone: L02-204_FitnComlPthp",1417.3033,19758.8000,1,45,20,31.9,374.2,374.2,0,-99996,0.0,1275.6,0.0,0.0,772.6,390.0,0.0,0.0,0.0,0.0,1418.5,0.0,0.0,0.0,0.0,0.0,1417.3,0.0,0.0,0.0,0.0,0.0,0.0
"L02-205_AstoComlIncd","L2","IndirectlyConditioned","Storage Room - <50 ft2","Nonresidential","Thermal Zone: L02-204_FitnComlPthp",178.1334,2483.3600,1,3,0,0.3,47.0,47.0,0,-99996,0.0,142.5,0.0,0.0,467.4,0.0,0.0,0.0,0.0,0.0,178.3,0.0,0.0,0.0,0.0,0.0,178.1,0.0,0.0,0.0,0.0,0.0,0.0
"L02-201A_StrsComlIncd","L2","IndirectlyConditioned","Stairwell","Nonresidential","Thermal Zone: L02-201_CorrComlPthp",177.8624,2447.1700,1,10,10,0.9,47.0,47.0,0,-99996,0.0,106.7,0.0,0.0,385.8,160.6,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
