Envelope Summary
                              ,Roof
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,Gross Area,Net Area,Azimuth,U-factor w/ Film,U-factor w/o Film,Thermal Emittance,Reflectance
                              ,,,,,,,,,(ft2),(ft2),(Deg),(Btu/h-F-ft2),(Btu/h-F-ft2),,
,"Surface 62","Roof 10","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,343.5,343.5,212.0,0.022,0.022,0.9,0.3
,"Surface 70","Roof 10","L02-211_RestComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,740.6,740.6,212.0,0.022,0.022,0.9,0.3
,"Surface 260","Roof 10","L02-209_AstoComlPthp","Thermal Zone: L02-209_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,347.0,347.0,212.0,0.022,0.022,0.9,0.3
,"Surface 87","Roof 10","L02-207_UtilComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,98.8,98.8,212.0,0.022,0.022,0.9,0.3
,"Surface 93","Roof 10","L02-207C_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,54.5,54.5,212.0,0.022,0.022,0.9,0.3
,"Surface 253","Roof 10","L02-207B_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,53.1,53.1,212.0,0.022,0.022,0.9,0.3
,"Surface 105","Roof 10","L02-207A_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,52.6,52.6,212.0,0.022,0.022,0.9,0.3
,"Surface 144","Roof 10","L02-216_MprpComlPthp","Thermal Zone: L02-216_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,257.2,257.2,212.0,0.022,0.022,0.9,0.3
,"Surface 120","Roof 10","L02-217_AstoComlIncd","Thermal Zone: L02-216_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,43.4,43.4,212.0,0.022,0.022,0.9,0.3
,"Surface 247","Roof 10","L02-206_MprpComlPthp","Thermal Zone: L02-206_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,237.4,237.4,212.0,0.022,0.022,0.9,0.3
,"Surface 129","Roof 10","L02-201_CorrComlPthp","Thermal Zone: L02-201_CorrComlPthp","DirectlyConditioned","Nonresidential","New",1,946.6,946.6,212.0,0.022,0.022,0.9,0.3
,"Surface 238","Roof 10","L02-218_MechComlPthp","Thermal Zone: L02-218_MechComlPthp","DirectlyConditioned","Nonresidential","New",1,45.9,45.9,212.0,0.022,0.022,0.9,0.3
,"Surface 171","Roof 10","L02-215_LndyComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,111.3,111.3,212.0,0.022,0.022,0.9,0.3
,"Surface 262","Roof 10","L02-208_RestComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,101.5,101.5,212.0,0.022,0.022,0.9,0.3
,"Surface 57","Roof 10","L02-001_ElevComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,60.6,60.6,212.0,0.022,0.022,0.9,0.3
,"Surface 192","Roof 10","L02-201B_UtilComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,17.3,17.3,212.0,0.022,0.022,0.9,0.3
,"Surface 204","Roof 10","L02-202_OfceComlPthp","Thermal Zone: L02-202_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,187.8,187.8,212.0,0.022,0.022,0.9,0.3
,"Surface 235","Roof 10","L02-203_BrkrComlPthp","Thermal Zone: L02-203_BrkrComlPthp","DirectlyConditioned","Nonresidential","New",1,223.5,223.5,212.0,0.022,0.022,0.9,0.3
,"Surface 217","Roof 10","L02-204_FitnComlPthp","Thermal Zone: L02-204_FitnComlPthp","DirectlyConditioned","Nonresidential","New",1,1418.5,1418.5,212.0,0.022,0.022,0.9,0.3
,"Surface 232","Roof 10","L02-205_AstoComlIncd","Thermal Zone: L02-204_FitnComlPthp","IndirectlyConditioned","Nonresidential","New",1,178.3,178.3,212.0,0.022,0.022,0.9,0.3
,"Surface 113","Roof 10","L02-201A_StrsComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,178.0,178.0,212.0,0.022,0.022,0.9,0.3


                              ,Exterior Wall
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,Gross Area,Net Area,Azimuth,U-factor w/ Film,U-factor w/o Film,Thermal Emittance,Reflectance
                              ,,,,,,,,,(ft2),(ft2),(Deg),(Btu/h-F-ft2),(Btu/h-F-ft2),,
,"Surface 327","Mass Wall 03 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,128.2,104.6,302.0,0.407,0.437,0.9,0.3
,"Surface 4","Mass Wall 03 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,131.9,131.9,302.0,0.407,0.437,0.9,0.3
,"Surface 5","Mass Wall 03 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,1027.0,644.0,32.0,0.407,0.437,0.9,0.3
,"Surface 6","Mass Wall 03 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,749.1,725.5,122.0,0.407,0.437,0.9,0.3
,"Surface 7","Mass Wall 03 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,587.7,339.3,212.0,0.407,0.437,0.9,0.3
,"Surface 16","Mass Wall 03B Cond","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,206.0,182.4,302.0,0.085,0.087,0.9,0.3
,"Surface 333","Mass Wall 03B Cond","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,102.8,39.6,212.0,0.085,0.087,0.9,0.3
,"Surface 21","Mass Wall 03B Cond","L01-103_AstoComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,73.7,73.7,212.0,0.085,0.087,0.9,0.3
,"Surface 37","Mass Wall 03B Cond","L01-101_LbbyComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,122.0,33.4,302.0,0.085,0.087,0.9,0.3
,"Surface 41","Mass Wall 03B Cond","L01-101A_StrsComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,150.1,87.8,32.0,0.085,0.087,0.9,0.3
,"Surface 46","Mass Wall 03B Cond","L01-101A_StrsComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,266.6,159.4,302.0,0.085,0.087,0.9,0.3
,"Surface 51","Mass Wall 03B Cond","L01-100_VestComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,158.4,54.7,32.0,0.085,0.087,0.9,0.3
,"Surface 55","Exterior Wall 01/02","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,183.5,183.5,212.0,0.041,0.041,0.9,0.3
,"Surface 56","Exterior Wall 01/02","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,178.8,178.8,302.0,0.041,0.041,0.9,0.3
,"Surface 69","Exterior Wall 01/02","L02-211_RestComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,264.6,264.6,212.0,0.041,0.041,0.9,0.3
,"Surface 73","Exterior Wall 01/02","L02-209_AstoComlPthp","Thermal Zone: L02-209_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,184.1,184.1,212.0,0.041,0.041,0.9,0.3
,"Surface 86","Exterior Wall 01/02","L02-207_UtilComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,63.6,63.6,212.0,0.041,0.041,0.9,0.3
,"Surface 91","Exterior Wall 01/02","L02-207C_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,72.7,72.7,122.0,0.041,0.041,0.9,0.3
,"Surface 92","Exterior Wall 01/02","L02-207C_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,103.1,103.1,212.0,0.041,0.041,0.9,0.3
,"Surface 252","Exterior Wall 01/02","L02-207B_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,72.2,72.2,122.0,0.041,0.041,0.9,0.3
,"Surface 103","Exterior Wall 01/02","L02-207A_MechComlIncd","Thermal Zone: L02-206_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,73.1,73.1,122.0,0.041,0.041,0.9,0.3
,"Surface 133","Exterior Wall 01/02","L02-216_MprpComlPthp","Thermal Zone: L02-216_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,166.3,166.3,212.0,0.041,0.041,0.9,0.3
,"Surface 142","Exterior Wall 01/02","L02-216_MprpComlPthp","Thermal Zone: L02-216_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,250.7,191.6,302.0,0.041,0.041,0.9,0.3
,"Surface 117","Exterior Wall 01/02","L02-217_AstoComlIncd","Thermal Zone: L02-216_MprpComlPthp","IndirectlyConditioned","Nonresidential","New",1,86.1,86.1,212.0,0.041,0.041,0.9,0.3
,"Surface 246","Exterior Wall 01/02","L02-206_MprpComlPthp","Thermal Zone: L02-206_MprpComlPthp","DirectlyConditioned","Nonresidential","New",1,211.5,150.3,122.0,0.041,0.041,0.9,0.3
,"Surface 130","Exterior Wall 01/02","L02-201_CorrComlPthp","Thermal Zone: L02-201_CorrComlPthp","DirectlyConditioned","Nonresidential","New",1,107.7,47.1,302.0,0.041,0.041,0.9,0.3
,"Surface 135","Exterior Wall 01/02","L02-201_CorrComlPthp","Thermal Zone: L02-201_CorrComlPthp","DirectlyConditioned","Nonresidential","New",1,107.7,32.7,122.0,0.041,0.041,0.9,0.3
,"Surface 202","Exterior Wall 01/02","L02-202_OfceComlPthp","Thermal Zone: L02-202_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,149.0,59.0,32.0,0.041,0.041,0.9,0.3
,"Surface 209","Exterior Wall 01/02","L02-203_BrkrComlPthp","Thermal Zone: L02-203_BrkrComlPthp","DirectlyConditioned","Nonresidential","New",1,121.7,121.7,32.0,0.041,0.041,0.9,0.3
,"Surface 211","Exterior Wall 01/02","L02-203_BrkrComlPthp","Thermal Zone: L02-203_BrkrComlPthp","DirectlyConditioned","Nonresidential","New",1,125.7,81.7,302.0,0.041,0.041,0.9,0.3
,"Surface 215","Exterior Wall 01/02","L02-204_FitnComlPthp","Thermal Zone: L02-204_FitnComlPthp","DirectlyConditioned","Nonresidential","New",1,772.6,382.6,32.0,0.041,0.041,0.9,0.3
,"Surface 221","Exterior Wall 01/02","L02-205_AstoComlIncd","Thermal Zone: L02-204_FitnComlPthp","IndirectlyConditioned","Nonresidential","New",1,97.1,97.1,32.0,0.041,0.041,0.9,0.3
,"Surface 234","Exterior Wall 01/02","L02-205_AstoComlIncd","Thermal Zone: L02-204_FitnComlPthp","IndirectlyConditioned","Nonresidential","New",1,370.3,370.3,122.0,0.041,0.041,0.9,0.3
,"Surface 149","Exterior Wall 01/02","L02-201A_StrsComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,244.5,144.4,302.0,0.041,0.041,0.9,0.3
,"Surface 84","Exterior Wall 01/02","L02-201A_StrsComlIncd","Thermal Zone: L02-201_CorrComlPthp","IndirectlyConditioned","Nonresidential","New",1,141.3,80.8,32.0,0.041,0.041,0.9,0.3


                              ,Underground Wall
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,,Area,Azimuth,C-factor
                              ,,,,,,,,,,(ft2),(Deg),(Btu/h-F-ft2)
,"Surface 326","Mass Wall 03B Cond BG","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,,439.3,212.0,0.094
,"Surface 331","Mass Wall 03B Cond BG","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,,292.1,122.0,0.094
,"Surface 8","Mass Wall 03B Cond BG","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,,95.9,302.0,0.094
,"Surface 17","Mass Wall 03B Cond BG","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,,76.9,212.0,0.094
,"Surface 334","Mass Wall 03B Cond BG","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,,90.7,302.0,0.094
,"Surface 329","Mass Wall 03B Cond BG","L01-103_AstoComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,,55.1,212.0,0.094


                              ,Underground Floor
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,,Exposed Perimeter,,F-factor
                              ,,,,,,,,,,(ft),,(Btu/h-F-ft)
,"Surface 1","Ground Contact Floor 20 Uncd","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,,230.1,,0.73
,"Surface 18","Ground Contact Floor 20B Cond","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,,31.8,,0.64
,"Surface 19","Ground Contact Floor 20B Cond","L01-103_AstoComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,,8.6,,0.64
,"Surface 25","Ground Contact Floor 20B Cond","L01-001_ElevComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,,0.0,,0.64
,"Surface 36","Ground Contact Floor 20B Cond","L01-101_LbbyComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,,8.1,,0.64
,"Surface 45","Ground Contact Floor 20B Cond","L01-101A_StrsComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,,27.8,,0.64
,"Surface 47","Ground Contact Floor 20B Cond","L01-100_VestComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,,10.6,,0.64


                              ,Interior Wall
                              ,Surface,Assembly,Space,Thermal Zone,Conditioning Type,Res/Non-res,Status,Multiplier,Gross Area,Net Area,Azimuth,U-factor w/ Film,U-factor w/o Film
                              ,,,,,,,,,(ft2),(ft2),(Deg),(Btu/h-F-ft2),(Btu/h-F-ft2)
,"Surface 10","Interior Wall 06","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,105.7,105.7,302.0,0.061,0.063
,"Surface 2","Interior Wall 06","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,240.0,240.0,302.0,0.061,0.063
,"Surface 3","Interior Wall 06","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,148.6,148.6,302.0,0.061,0.063
,"Surface 9","Interior Wall 06","L01-105_IstoComlUncd","Thermal Zone: L01-105_IstoComlUncd","Unconditioned","Nonresidential","New",1,191.0,191.0,302.0,0.061,0.063
,"Surface 12","Interior Wall 06","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,179.7,179.7,32.0,0.061,0.063
,"Surface 14","Interior Wall 06","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,105.7,105.7,122.0,0.061,0.063
,"Surface 15","Interior Wall 06","L01-102_OfceComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,191.0,191.0,122.0,0.061,0.063
,"Surface 23","Interior Wall 06","L01-103_AstoComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,128.8,128.8,32.0,0.061,0.063
,"Surface 26","Interior Wall 06","L01-001_ElevComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,128.8,128.8,32.0,0.061,0.063
,"Surface 31","Interior Wall 06","L01-101_LbbyComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,150.1,150.1,32.0,0.061,0.063
,"Surface 32","Interior Wall 06","L01-101_LbbyComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,118.0,118.0,302.0,0.061,0.063
,"Surface 33","Interior Wall 06","L01-101_LbbyComlPthp","Thermal Zone: L01-102_OfceComlPthp","DirectlyConditioned","Nonresidential","New",1,158.4,158.4,32.0,0.061,0.063
,"Surface 42","Interior Wall 06","L01-101A_StrsComlIncd","Thermal Zone: L01-102_OfceComlPthp","IndirectlyConditioned","Nonresidential","New",1,148.6,148.6,122.0,0.061,0.063
,"Surface 148","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,76.7,76.7,302.0,0.061,0.063
,"Surface 54","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,219.3,219.3,122.0,0.061,0.063
,"Surface 58","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,29.9,29.9,302.0,0.061,0.063
,"Surface 59","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,135.6,135.6,32.0,0.061,0.063
,"Surface 60","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,66.1,66.1,122.0,0.061,0.063
,"Surface 61","Interior Wall 06","L02-214_AstoComlPthp","Thermal Zone: L02-214_AstoComlPthp","DirectlyConditioned","Nonresidential","New",1,61.8,61.8,32.0,0.061,0.063
